ACK #14 recieved from 127.0.0.1, 18ms of latency
ACK #15 recieved from 127.0.0.1, 8ms of latency
ACK #16 recieved from 127.0.0.1, 7ms of latency
ACK #17 recieved from 127.0.0.1, 8ms of latency
ACK #18 recieved from 127.0.0.1, 14ms of latency
ACK #19 recieved from 127.0.0.1, 10ms of latency
ACK #20 recieved from 127.0.0.1, 8ms of latency
ACK #21 recieved from 127.0.0.1, 8ms of latency
ACK #22 recieved from 127.0.0.1, 6ms of latency
ACK #23 recieved from 127.0.0.1, 8ms of latency
ACK #24 recieved from 127.0.0.1, 1ms of latency
ACK #25 recieved from 127.0.0.1, 8ms of latency
ACK #26 recieved from 127.0.0.1, 9ms of latency
ACK #27 recieved from 127.0.0.1, 8ms of latency
ACK #28 recieved from 127.0.0.1, 8ms of latency
ACK #29 recieved from 127.0.0.1, 7ms of latency
ACK #30 recieved from 127.0.0.1, 3ms of latency
ACK #31 recieved from 127.0.0.1, 6ms of latency
ACK #32 recieved from 127.0.0.1, 4ms of latency
ACK #33 recieved from 127.0.0.1, 2ms of latency
ACK #34 recieved from 127.0.0.1, 10ms of latency
ACK #35 recieved from 127.0.0.1, 9ms of latency
ACK #36 recieved from 127.0.0.1, 8ms of latency
ACK #37 recieved from 127.0.0.1, 2ms of latency
ACK #38 recieved from 127.0.0.1, 11ms of latency
ACK #39 recieved from 127.0.0.1, 11ms of latency
ACK #40 recieved from 127.0.0.1, 11ms of latency
ACK #41 recieved from 127.0.0.1, 11ms of latency
ACK #42 recieved from 127.0.0.1, 7ms of latency
ACK #43 recieved from 127.0.0.1, 11ms of latency
ACK #44 recieved from 127.0.0.1, 15ms of latency
ACK #45 recieved from 127.0.0.1, 2ms of latency
ACK #46 recieved from 127.0.0.1, 7ms of latency
ACK #47 recieved from 127.0.0.1, 7ms of latency
ACK #48 recieved from 127.0.0.1, 9ms of latency
ACK #49 recieved from 127.0.0.1, 8ms of latency
ACK #50 recieved from 127.0.0.1, 9ms of latency
ACK #51 recieved from 127.0.0.1, 8ms of latency
ACK #52 recieved from 127.0.0.1, 9ms of latency
ACK #53 recieved from 127.0.0.1, 10ms of latency
ACK #54 recieved from 127.0.0.1, 2ms of latency
ACK #55 recieved from 127.0.0.1, 10ms of latency
ACK #56 recieved from 127.0.0.1, 2ms of latency
ACK #57 recieved from 127.0.0.1, 2ms of latency
ACK #58 recieved from 127.0.0.1, 2ms of latency
ACK #59 recieved from 127.0.0.1, 5ms of latency
ACK #60 recieved from 127.0.0.1, 7ms of latency
ACK #61 recieved from 127.0.0.1, 2ms of latency
ACK #62 recieved from 127.0.0.1, 7ms of latency
ACK #63 recieved from 127.0.0.1, 8ms of latency
ACK #64 recieved from 127.0.0.1, 3ms of latency
ACK #65 recieved from 127.0.0.1, 8ms of latency
ACK #66 recieved from 127.0.0.1, 9ms of latency
ACK #67 recieved from 127.0.0.1, 7ms of latency
ACK #68 recieved from 127.0.0.1, 2ms of latency
ACK #69 recieved from 127.0.0.1, 9ms of latency
ACK #70 recieved from 127.0.0.1, 7ms of latency
ACK #71 recieved from 127.0.0.1, 7ms of latency
ACK #72 recieved from 127.0.0.1, 8ms of latency
ACK #73 recieved from 127.0.0.1, 3ms of latency
ACK #74 recieved from 127.0.0.1, 8ms of latency
ACK #75 recieved from 127.0.0.1, 7ms of latency
ACK #76 recieved from 127.0.0.1, 11ms of latency
ACK #77 recieved from 127.0.0.1, 5ms of latency
ACK #78 recieved from 127.0.0.1, 9ms of latency
ACK #79 recieved from 127.0.0.1, 6ms of latency
ACK #80 recieved from 127.0.0.1, 7ms of latency
ACK #81 recieved from 127.0.0.1, 2ms of latency
ACK #82 recieved from 127.0.0.1, 4ms of latency
ACK #83 recieved from 127.0.0.1, 10ms of latency
ACK #84 recieved from 127.0.0.1, 10ms of latency
ACK #85 recieved from 127.0.0.1, 11ms of latency
ACK #86 recieved from 127.0.0.1, 6ms of latency
ACK #87 recieved from 127.0.0.1, 2ms of latency
ACK #88 recieved from 127.0.0.1, 4ms of latency
ACK #89 recieved from 127.0.0.1, 9ms of latency
ACK #90 recieved from 127.0.0.1, 4ms of latency
ACK #91 recieved from 127.0.0.1, 9ms of latency
ACK #92 recieved from 127.0.0.1, 10ms of latency
ACK #93 recieved from 127.0.0.1, 7ms of latency
